sentence_id,sentence,notation,n_moves,winner
c_0,The board is empty.,,0,
c_1,Sujith is X and has gone for up and left from center; Seoyeon is O and has not moved yet.,X:TL,1,
c_51,Sujith is X and has gone for down and right from center; Zhenmao is O and has gone for up and right from center.,X:BR O:TR,2,
c_52,Watson is X and has taken left of centre; Goli is O and has taken center.,X:ML O:C,2,
c_53,Wang is X and has taken center; Zhenmao is O and has gone for left of centre.,X:C O:ML,2,
c_54,Goli is X and has gone for left of centre; Kim is O and has gone for middle row right.,X:ML O:MR,2,
c_55,Wenjia is X and has taken middle row right; Watson is O and has taken middle row left.,X:MR O:ML,2,
c_56,Wenjia is X and has taken left of centre; Zhenmao is O and has taken down and left from center.,X:ML O:BL,2,
c_57,Zhenmao is X and has gone for bottom left corner; Wenjia is O and has taken left of centre.,X:BL O:ML,2,
c_58,Wang is X and has gone for left of centre; SONG is O and has taken bottom middle.,X:ML O:BM,2,
c_59,Seoyeon is X and has taken below the center; Wang is O and has taken left of centre.,X:BM O:ML,2,
c_60,Fergus is X and has gone for middle row left; Seoyeon is O and has gone for bottom right corner.,X:ML O:BR,2,
c_61,Wang is X and has taken down and right from center; Zhenmao is O and has taken left of centre.,X:BR O:ML,2,
c_62,Wang is X and has gone for center; Watson is O and has gone for middle row right.,X:C O:MR,2,
c_63,Fergus is X and has gone for right of centre; SONG is O and has taken middle.,X:MR O:C,2,
c_64,Zhenmao is X and has gone for middle; Goli is O and has gone for down and left from center.,X:C O:BL,2,
c_65,Sujith is X and has taken down and left from center; Seoyeon is O and has taken center.,X:BL O:C,2,
c_66,SONG is X and has gone for center; Wang is O and has gone for bottom middle.,X:C O:BM,2,
c_67,Wang is X and has gone for below the center; Seoyeon is O and has taken center.,X:BM O:C,2,
c_68,Sujith is X and has taken center; Goli is O and has taken down and right from center.,X:C O:BR,2,
c_69,SONG is X and has taken bottom right corner; Seoyeon is O and has gone for center.,X:BR O:C,2,
c_70,Wenjia is X and has taken middle row right; SONG is O and has taken down and left from center.,X:MR O:BL,2,
c_71,Sujith is X and has gone for bottom left corner; Seoyeon is O and has taken middle row right.,X:BL O:MR,2,
c_72,Sujith is X and has gone for right of centre; Fergus is O and has gone for below the center.,X:MR O:BM,2,
c_73,Watson is X and has taken bottom middle; Wenjia is O and has taken right of centre.,X:BM O:MR,2,
c_74,Fergus is X and has gone for middle row right; Goli is O and has gone for down and right from center.,X:MR O:BR,2,
c_75,Watson is X and has gone for down and right from center; Seoyeon is O and has taken middle row right.,X:BR O:MR,2,
c_76,Sujith is X and has taken bottom left corner; Goli is O and has taken below the center.,X:BL O:BM,2,
c_77,Wang is X and has gone for bottom middle; Watson is O and has taken bottom left corner.,X:BM O:BL,2,
c_78,Wenjia is X and has gone for bottom left corner; Sujith is O and has gone for down and right from center.,X:BL O:BR,2,
c_79,Zhenmao is X and has gone for bottom right corner; Kim is O and has taken bottom left corner.,X:BR O:BL,2,
c_80,Wang is X and has taken below the center; Wenjia is O and has taken bottom right corner.,X:BM O:BR,2,
c_81,Zhenmao is X and has taken down and right from center; SONG is O and has gone for below the center.,X:BR O:BM,2,
c_82,Watson is X and has taken up and left from center and top middle; Goli is O and has gone for up and right from center.,"X:TL,TM O:TR",3,
c_83,Wang is X and has gone for up and left from center and top right corner; Seoyeon is O and has taken top middle.,"X:TL,TR O:TM",3,
c_84,Goli is X and has gone for top middle and top right corner; Seoyeon is O and has taken up and left from center.,"X:TM,TR O:TL",3,
c_85,Fergus is X and has taken top left corner and top middle; Zhenmao is O and has gone for left of centre.,"X:TL,TM O:ML",3,
c_86,Watson is X and has gone for up and left from center and left of centre; Seoyeon is O and has taken top middle.,"X:TL,ML O:TM",3,
c_87,Seoyeon is X and has gone for above the center and middle row left; SONG is O and has gone for top left corner.,"X:TM,ML O:TL",3,
c_88,Zhenmao is X and has gone for up and left from center and above the center; Goli is O and has gone for center.,"X:TL,TM O:C",3,
c_89,Goli is X and has gone for top left corner and center; Watson is O and has taken above the center.,"X:TL,C O:TM",3,
c_90,Seoyeon is X and has taken top middle and middle; Watson is O and has gone for top left corner.,"X:TM,C O:TL",3,
c_91,Wang is X and has taken top left corner and top middle; Wenjia is O and has gone for middle row right.,"X:TL,TM O:MR",3,
c_92,SONG is X and has gone for top left corner and right of centre; Zhenmao is O and has taken top middle.,"X:TL,MR O:TM",3,
c_93,Seoyeon is X and has gone for top middle and right of centre; Fergus is O and has taken top left corner.,"X:TM,MR O:TL",3,
c_94,Goli is X and has taken top left corner and top middle; Seoyeon is O and has gone for bottom left corner.,"X:TL,TM O:BL",3,
c_95,Fergus is X and has gone for top left corner and bottom left corner; Zhenmao is O and has taken above the center.,"X:TL,BL O:TM",3,
c_96,Wenjia is X and has taken above the center and down and left from center; Watson is O and has taken up and left from center.,"X:TM,BL O:TL",3,
c_97,Fergus is X and has taken top left corner and top middle; Goli is O and has taken bottom middle.,"X:TL,TM O:BM",3,
c_98,Kim is X and has gone for top left corner and below the center; Watson is O and has taken top middle.,"X:TL,BM O:TM",3,
c_99,SONG is X and has gone for above the center and bottom middle; Kim is O and has taken up and left from center.,"X:TM,BM O:TL",3,
c_100,Kim is X and has gone for top left corner and top middle; Wang is O and has taken down and right from center.,"X:TL,TM O:BR",3,
c_101,Goli is X and has gone for top left corner and bottom right corner; Kim is O and has taken above the center.,"X:TL,BR O:TM",3,
c_102,Watson is X and has taken top middle and down and right from center; Goli is O and has gone for up and left from center.,"X:TM,BR O:TL",3,
c_103,Wenjia is X and has gone for up and left from center and up and right from center; Watson is O and has taken middle row left.,"X:TL,TR O:ML",3,
c_104,Watson is X and has gone for top left corner and left of centre; Fergus is O and has gone for up and right from center.,"X:TL,ML O:TR",3,
c_105,Kim is X and has gone for top right corner and left of centre; Watson is O and has taken up and left from center.,"X:TR,ML O:TL",3,
c_106,Sujith is X and has taken up and left from center and up and right from center; Watson is O and has taken middle.,"X:TL,TR O:C",3,
c_107,Fergus is X and has gone for top left corner and middle; Sujith is O and has gone for up and right from center.,"X:TL,C O:TR",3,
c_108,Fergus is X and has gone for up and right from center and center; Wang is O and has gone for up and left from center.,"X:TR,C O:TL",3,
c_109,Goli is X and has taken up and left from center and up and right from center; Wang is O and has gone for middle row right.,"X:TL,TR O:MR",3,
c_110,Kim is X and has taken up and left from center and middle row right; Zhenmao is O and has gone for up and right from center.,"X:TL,MR O:TR",3,
c_111,Seoyeon is X and has gone for up and right from center and right of centre; Goli is O and has taken up and left from center.,"X:TR,MR O:TL",3,
c_112,Zhenmao is X and has gone for top left corner and up and right from center; Watson is O and has taken down and left from center.,"X:TL,TR O:BL",3,
c_113,Zhenmao is X and has taken top left corner and bottom left corner; Fergus is O and has taken up and right from center.,"X:TL,BL O:TR",3,
c_114,Fergus is X and has gone for up and right from center and bottom left corner; SONG is O and has taken up and left from center.,"X:TR,BL O:TL",3,
c_115,Wenjia is X and has taken up and left from center and top right corner; Wang is O and has gone for bottom middle.,"X:TL,TR O:BM",3,
c_116,Fergus is X and has gone for up and left from center and bottom middle; Wang is O and has taken up and right from center.,"X:TL,BM O:TR",3,
c_117,Wenjia is X and has gone for top right corner and below the center; Kim is O and has taken up and left from center.,"X:TR,BM O:TL",3,
c_118,SONG is X and has gone for up and left from center and top right corner; Sujith is O and has taken down and right from center.,"X:TL,TR O:BR",3,
c_119,Seoyeon is X and has gone for up and left from center and bottom right corner; Watson is O and has gone for up and right from center.,"X:TL,BR O:TR",3,
c_120,Kim is X and has gone for up and right from center and bottom right corner; Fergus is O and has taken top left corner.,"X:TR,BR O:TL",3,
c_121,Wenjia is X and has taken top left corner and left of centre; Fergus is O and has gone for middle.,"X:TL,ML O:C",3,
c_122,Goli is X and has gone for up and left from center and center; SONG is O and has gone for left of centre.,"X:TL,C O:ML",3,
c_123,Wang is X and has gone for left of centre and center; Watson is O and has taken up and left from center.,"X:ML,C O:TL",3,
c_124,Zhenmao is X and has gone for up and left from center and middle row left; Seoyeon is O and has taken right of centre.,"X:TL,ML O:MR",3,
c_125,Fergus is X and has gone for top left corner and right of centre; Goli is O and has gone for middle row left.,"X:TL,MR O:ML",3,
c_126,Seoyeon is X and has taken middle row left and right of centre; Kim is O and has taken top left corner.,"X:ML,MR O:TL",3,
c_127,Zhenmao is X and has taken up and left from center and left of centre; Sujith is O and has gone for down and left from center.,"X:TL,ML O:BL",3,
c_128,Watson is X and has taken top left corner and down and left from center; Sujith is O and has taken left of centre.,"X:TL,BL O:ML",3,
c_129,Wang is X and has gone for left of centre and down and left from center; Watson is O and has taken top left corner.,"X:ML,BL O:TL",3,
c_130,Kim is X and has taken top left corner and middle row left; SONG is O and has taken below the center.,"X:TL,ML O:BM",3,
c_131,Wang is X and has taken top left corner and below the center; Seoyeon is O and has taken left of centre.,"X:TL,BM O:ML",3,
c_132,Wenjia is X and has taken left of centre and below the center; Sujith is O and has taken top left corner.,"X:ML,BM O:TL",3,
c_133,Goli is X and has taken top left corner and left of centre; Wenjia is O and has taken bottom right corner.,"X:TL,ML O:BR",3,
c_134,Zhenmao is X and has taken top left corner and bottom right corner; Fergus is O and has taken middle row left.,"X:TL,BR O:ML",3,
c_135,SONG is X and has taken left of centre and down and right from center; Kim is O and has gone for up and left from center.,"X:ML,BR O:TL",3,
c_136,Fergus is X and has gone for top left corner and center; Kim is O and has gone for middle row right.,"X:TL,C O:MR",3,
c_137,Zhenmao is X and has gone for top left corner and right of centre; Fergus is O and has gone for center.,"X:TL,MR O:C",3,
c_138,Zhenmao is X and has gone for middle and middle row right; SONG is O and has taken top left corner.,"X:C,MR O:TL",3,
c_139,Wenjia is X and has taken up and left from center and middle; Watson is O and has taken down and left from center.,"X:TL,C O:BL",3,
c_140,Sujith is X and has taken top left corner and down and left from center; Seoyeon is O and has taken center.,"X:TL,BL O:C",3,
c_141,Fergus is X and has gone for middle and bottom left corner; Kim is O and has taken top left corner.,"X:C,BL O:TL",3,
c_142,Watson is X and has taken up and left from center and center; Wang is O and has taken below the center.,"X:TL,C O:BM",3,
c_143,Seoyeon is X and has taken top left corner and bottom middle; Sujith is O and has taken center.,"X:TL,BM O:C",3,
c_144,Zhenmao is X and has gone for center and below the center; SONG is O and has gone for up and left from center.,"X:C,BM O:TL",3,
c_145,Wang is X and has gone for up and left from center and middle; SONG is O and has taken bottom right corner.,"X:TL,C O:BR",3,
c_146,Kim is X and has gone for top left corner and bottom right corner; Wang is O and has taken center.,"X:TL,BR O:C",3,
c_147,SONG is X and has taken middle and down and right from center; Goli is O and has taken up and left from center.,"X:C,BR O:TL",3,
c_148,Wang is X and has gone for up and left from center and right of centre; Zhenmao is O and has taken down and left from center.,"X:TL,MR O:BL",3,
c_149,Wang is X and has gone for top left corner and bottom left corner; Wenjia is O and has taken middle row right.,"X:TL,BL O:MR",3,
c_150,Kim is X and has gone for middle row right and bottom left corner; Watson is O and has taken up and left from center.,"X:MR,BL O:TL",3,
c_151,SONG is X and has gone for up and left from center and right of centre; Watson is O and has taken bottom middle.,"X:TL,MR O:BM",3,
c_152,SONG is X and has taken up and left from center and below the center; Zhenmao is O and has taken middle row right.,"X:TL,BM O:MR",3,
c_153,Watson is X and has gone for right of centre and below the center; Kim is O and has taken top left corner.,"X:MR,BM O:TL",3,
c_154,SONG is X and has gone for top left corner and middle row right; Zhenmao is O and has taken bottom right corner.,"X:TL,MR O:BR",3,
c_155,Kim is X and has taken up and left from center and bottom right corner; Goli is O and has taken right of centre.,"X:TL,BR O:MR",3,
c_156,Seoyeon is X and has taken middle row right and down and right from center; Sujith is O and has taken top left corner.,"X:MR,BR O:TL",3,
c_157,Seoyeon is X and has taken up and left from center and bottom left corner; Wang is O and has gone for below the center.,"X:TL,BL O:BM",3,
c_158,Sujith is X and has gone for up and left from center and bottom middle; Kim is O and has taken down and left from center.,"X:TL,BM O:BL",3,
c_159,SONG is X and has gone for down and left from center and bottom middle; Kim is O and has taken up and left from center.,"X:BL,BM O:TL",3,
c_160,Wenjia is X and has gone for top left corner and bottom left corner; Goli is O and has taken down and right from center.,"X:TL,BL O:BR",3,
c_161,Fergus is X and has taken top left corner and bottom right corner; Watson is O and has taken bottom left corner.,"X:TL,BR O:BL",3,
c_162,Wang is X and has gone for down and left from center and down and right from center; Kim is O and has gone for top left corner.,"X:BL,BR O:TL",3,
c_163,SONG is X and has taken top left corner and bottom middle; Wang is O and has taken bottom right corner.,"X:TL,BM O:BR",3,
c_164,Seoyeon is X and has taken up and left from center and bottom right corner; Goli is O and has gone for below the center.,"X:TL,BR O:BM",3,
c_165,Wenjia is X and has taken bottom middle and down and right from center; Sujith is O and has gone for top left corner.,"X:BM,BR O:TL",3,
c_166,Watson is X and has gone for above the center and top right corner; Kim is O and has gone for left of centre.,"X:TM,TR O:ML",3,
c_167,Wenjia is X and has taken top middle and middle row left; Seoyeon is O and has gone for up and right from center.,"X:TM,ML O:TR",3,
c_168,Zhenmao is X and has gone for top right corner and middle row left; Wenjia is O and has gone for above the center.,"X:TR,ML O:TM",3,
c_169,Wenjia is X and has taken above the center and top right corner; Seoyeon is O and has gone for center.,"X:TM,TR O:C",3,
c_170,Zhenmao is X and has gone for above the center and center; Fergus is O and has taken up and right from center.,"X:TM,C O:TR",3,
c_171,SONG is X and has taken top right corner and middle; Kim is O and has taken top middle.,"X:TR,C O:TM",3,
c_172,Seoyeon is X and has taken above the center and top right corner; SONG is O and has taken middle row right.,"X:TM,TR O:MR",3,
c_173,Kim is X and has gone for top middle and right of centre; Sujith is O and has taken up and right from center.,"X:TM,MR O:TR",3,
c_174,Seoyeon is X and has taken up and right from center and middle row right; Wenjia is O and has taken above the center.,"X:TR,MR O:TM",3,
c_175,Goli is X and has gone for above the center and up and right from center; SONG is O and has taken down and left from center.,"X:TM,TR O:BL",3,
c_176,Watson is X and has gone for above the center and bottom left corner; Seoyeon is O and has gone for up and right from center.,"X:TM,BL O:TR",3,
c_177,Watson is X and has taken up and right from center and bottom left corner; Wenjia is O and has gone for top middle.,"X:TR,BL O:TM",3,
c_178,SONG is X and has gone for top middle and up and right from center; Goli is O and has gone for bottom middle.,"X:TM,TR O:BM",3,
c_179,Fergus is X and has gone for above the center and bottom middle; Seoyeon is O and has gone for up and right from center.,"X:TM,BM O:TR",3,
c_180,Seoyeon is X and has gone for top right corner and bottom middle; SONG is O and has taken top middle.,"X:TR,BM O:TM",3,
c_181,Kim is X and has gone for top middle and up and right from center; Zhenmao is O and has gone for bottom right corner.,"X:TM,TR O:BR",3,
c_182,Watson is X and has taken top middle and down and right from center; Wang is O and has gone for up and right from center.,"X:TM,BR O:TR",3,
c_183,SONG is X and has gone for top right corner and down and right from center; Seoyeon is O and has taken top middle.,"X:TR,BR O:TM",3,
c_184,Seoyeon is X and has taken top middle and left of centre; Wenjia is O and has gone for center.,"X:TM,ML O:C",3,
c_185,Sujith is X and has gone for above the center and center; SONG is O and has taken left of centre.,"X:TM,C O:ML",3,
c_186,Goli is X and has gone for middle row left and center; Wenjia is O and has gone for top middle.,"X:ML,C O:TM",3,
c_187,Zhenmao is X and has gone for top middle and middle row left; Fergus is O and has taken right of centre.,"X:TM,ML O:MR",3,
c_188,Kim is X and has gone for top middle and middle row right; Zhenmao is O and has gone for left of centre.,"X:TM,MR O:ML",3,
c_189,Wang is X and has gone for middle row left and right of centre; Kim is O and has taken top middle.,"X:ML,MR O:TM",3,
c_190,Zhenmao is X and has gone for above the center and left of centre; Wang is O and has taken down and left from center.,"X:TM,ML O:BL",3,
c_191,Wenjia is X and has taken above the center and down and left from center; Goli is O and has taken left of centre.,"X:TM,BL O:ML",3,
c_192,Watson is X and has taken left of centre and down and left from center; Fergus is O and has gone for above the center.,"X:ML,BL O:TM",3,
c_193,Kim is X and has taken top middle and middle row left; Watson is O and has taken bottom middle.,"X:TM,ML O:BM",3,
c_194,Zhenmao is X and has taken top middle and below the center; Sujith is O and has taken middle row left.,"X:TM,BM O:ML",3,
c_195,Wang is X and has taken middle row left and bottom middle; Goli is O and has gone for top middle.,"X:ML,BM O:TM",3,
c_196,Wang is X and has taken top middle and middle row left; Watson is O and has taken down and right from center.,"X:TM,ML O:BR",3,
c_197,Goli is X and has gone for top middle and bottom right corner; SONG is O and has taken left of centre.,"X:TM,BR O:ML",3,
c_198,Kim is X and has gone for left of centre and down and right from center; Goli is O and has gone for above the center.,"X:ML,BR O:TM",3,
c_199,Sujith is X and has taken top middle and center; Seoyeon is O and has gone for right of centre.,"X:TM,C O:MR",3,
c_200,Watson is X and has taken above the center and right of centre; Fergus is O and has gone for middle.,"X:TM,MR O:C",3,
c_201,Wenjia is X and has gone for middle and right of centre; Zhenmao is O and has taken above the center.,"X:C,MR O:TM",3,
c_202,SONG is X and has taken above the center and middle; Kim is O and has gone for bottom left corner.,"X:TM,C O:BL",3,
c_203,Kim is X and has gone for above the center and down and left from center; Sujith is O and has taken center.,"X:TM,BL O:C",3,
c_204,Fergus is X and has gone for center and down and left from center; Goli is O and has gone for above the center.,"X:C,BL O:TM",3,
c_205,Goli is X and has taken above the center and center; Fergus is O and has gone for bottom middle.,"X:TM,C O:BM",3,
c_206,Wang is X and has taken top middle and below the center; Seoyeon is O and has gone for middle.,"X:TM,BM O:C",3,
c_207,Zhenmao is X and has gone for middle and below the center; SONG is O and has taken above the center.,"X:C,BM O:TM",3,
c_208,Kim is X and has gone for above the center and middle; Sujith is O and has gone for bottom right corner.,"X:TM,C O:BR",3,
c_209,Seoyeon is X and has gone for above the center and down and right from center; Kim is O and has taken middle.,"X:TM,BR O:C",3,
c_210,Seoyeon is X and has taken middle and down and right from center; Zhenmao is O and has taken top middle.,"X:C,BR O:TM",3,
c_211,Watson is X and has taken above the center and right of centre; Wang is O and has gone for down and left from center.,"X:TM,MR O:BL",3,
c_212,Sujith is X and has taken top middle and down and left from center; Goli is O and has taken right of centre.,"X:TM,BL O:MR",3,
c_213,Kim is X and has gone for right of centre and bottom left corner; SONG is O and has taken top middle.,"X:MR,BL O:TM",3,
c_214,Goli is X and has taken top middle and right of centre; Seoyeon is O and has taken bottom middle.,"X:TM,MR O:BM",3,
c_215,Fergus is X and has gone for top middle and bottom middle; Seoyeon is O and has gone for right of centre.,"X:TM,BM O:MR",3,
c_216,Fergus is X and has gone for right of centre and bottom middle; Wenjia is O and has gone for above the center.,"X:MR,BM O:TM",3,
c_217,Sujith is X and has gone for top middle and middle row right; Wang is O and has taken down and right from center.,"X:TM,MR O:BR",3,
c_218,Wenjia is X and has taken top middle and bottom right corner; Fergus is O and has taken right of centre.,"X:TM,BR O:MR",3,
c_219,Kim is X and has gone for middle row right and down and right from center; Fergus is O and has taken top middle.,"X:MR,BR O:TM",3,
c_220,Zhenmao is X and has taken top middle and down and left from center; Seoyeon is O and has taken bottom middle.,"X:TM,BL O:BM",3,
c_221,Wang is X and has taken top middle and bottom middle; Watson is O and has gone for bottom left corner.,"X:TM,BM O:BL",3,
c_222,Seoyeon is X and has taken bottom left corner and bottom middle; Watson is O and has taken top middle.,"X:BL,BM O:TM",3,
c_223,Sujith is X and has gone for above the center and down and left from center; SONG is O and has gone for bottom right corner.,"X:TM,BL O:BR",3,
c_224,Sujith is X and has gone for top middle and bottom right corner; Watson is O and has gone for bottom left corner.,"X:TM,BR O:BL",3,
c_225,Goli is X and has taken bottom left corner and down and right from center; Kim is O and has gone for above the center.,"X:BL,BR O:TM",3,
c_226,Zhenmao is X and has taken above the center and bottom middle; Sujith is O and has gone for bottom right corner.,"X:TM,BM O:BR",3,
c_227,Wenjia is X and has gone for above the center and bottom right corner; SONG is O and has taken bottom middle.,"X:TM,BR O:BM",3,
c_228,Wenjia is X and has gone for bottom middle and bottom right corner; Kim is O and has gone for top middle.,"X:BM,BR O:TM",3,
c_229,Watson is X and has gone for top right corner and left of centre; Sujith is O and has taken center.,"X:TR,ML O:C",3,
c_230,Wang is X and has taken top right corner and middle; Wenjia is O and has gone for middle row left.,"X:TR,C O:ML",3,
c_231,SONG is X and has taken middle row left and center; Kim is O and has gone for top right corner.,"X:ML,C O:TR",3,
c_232,Zhenmao is X and has taken top right corner and middle row left; Sujith is O and has gone for middle row right.,"X:TR,ML O:MR",3,
c_233,Watson is X and has taken up and right from center and right of centre; Fergus is O and has gone for middle row left.,"X:TR,MR O:ML",3,
c_234,Wenjia is X and has taken left of centre and middle row right; Fergus is O and has taken top right corner.,"X:ML,MR O:TR",3,
c_235,Zhenmao is X and has taken top right corner and middle row left; Goli is O and has gone for bottom left corner.,"X:TR,ML O:BL",3,
c_236,Wenjia is X and has gone for up and right from center and down and left from center; Kim is O and has taken middle row left.,"X:TR,BL O:ML",3,
c_237,Sujith is X and has taken left of centre and bottom left corner; Fergus is O and has gone for top right corner.,"X:ML,BL O:TR",3,
c_238,Sujith is X and has gone for up and right from center and middle row left; Wenjia is O and has taken below the center.,"X:TR,ML O:BM",3,
c_239,Goli is X and has taken up and right from center and below the center; Seoyeon is O and has gone for middle row left.,"X:TR,BM O:ML",3,
c_240,Wang is X and has gone for left of centre and below the center; Wenjia is O and has gone for up and right from center.,"X:ML,BM O:TR",3,
c_241,SONG is X and has taken up and right from center and left of centre; Wenjia is O and has gone for down and right from center.,"X:TR,ML O:BR",3,
c_242,Seoyeon is X and has gone for top right corner and bottom right corner; Kim is O and has gone for middle row left.,"X:TR,BR O:ML",3,
c_243,Zhenmao is X and has taken middle row left and bottom right corner; SONG is O and has gone for up and right from center.,"X:ML,BR O:TR",3,
c_244,Kim is X and has gone for top right corner and middle; Fergus is O and has gone for middle row right.,"X:TR,C O:MR",3,
c_245,Seoyeon is X and has gone for top right corner and right of centre; SONG is O and has gone for middle.,"X:TR,MR O:C",3,
c_246,Wang is X and has taken middle and right of centre; Fergus is O and has gone for up and right from center.,"X:C,MR O:TR",3,
c_247,Fergus is X and has taken up and right from center and center; Watson is O and has gone for bottom left corner.,"X:TR,C O:BL",3,
c_248,Seoyeon is X and has taken up and right from center and bottom left corner; Watson is O and has gone for middle.,"X:TR,BL O:C",3,
c_249,Kim is X and has gone for middle and bottom left corner; Wang is O and has taken up and right from center.,"X:C,BL O:TR",3,
c_250,Sujith is X and has taken up and right from center and center; Seoyeon is O and has taken bottom middle.,"X:TR,C O:BM",3,
c_251,Wang is X and has gone for up and right from center and bottom middle; Wenjia is O and has gone for center.,"X:TR,BM O:C",3,
c_252,Watson is X and has taken center and bottom middle; Fergus is O and has gone for top right corner.,"X:C,BM O:TR",3,
c_253,Sujith is X and has gone for up and right from center and middle; Kim is O and has taken bottom right corner.,"X:TR,C O:BR",3,
c_254,Wang is X and has gone for up and right from center and down and right from center; SONG is O and has gone for middle.,"X:TR,BR O:C",3,
c_255,Wenjia is X and has gone for center and down and right from center; Fergus is O and has gone for up and right from center.,"X:C,BR O:TR",3,
c_256,Kim is X and has taken up and right from center and middle row right; Watson is O and has gone for bottom left corner.,"X:TR,MR O:BL",3,
c_257,Sujith is X and has taken up and right from center and down and left from center; Wang is O and has taken middle row right.,"X:TR,BL O:MR",3,
