image_id,gold_label,llm_output,pred_sentence,cosine_sim,true_rank,top_1_correct,top_5_correct
3868,the medium orange hexagon is positioned above a small black circle,a medium orange hexagon is above a medium black circle,above a small orange hexagon is a medium black circle,0.9715434312820435,4,0,1
422,the big purple octagon is positioned right of a small green hexagon,a small green hexagon is left of a big purple octagon,left of a small green hexagon is a big purple octagon,0.9886412620544434,10,0,0
6845,a medium red diamond is left of a small yellow hexagon,a medium red diamond is left of a medium yellow hexagon,a medium red diamond is left of a small yellow hexagon,0.9884753227233887,1,1,1
7102,a big orange triangle is left of a medium green hexagon,a medium orange triangle is left of a medium green hexagon,a medium green triangle is left of a medium orange hexagon,0.9959710836410522,4,0,1
4121,above a small green triangle is a small yellow octagon,a medium yellow octagon is above a small green triangle,a small green triangle is below a medium yellow octagon,0.9762614965438843,3,0,1
2778,left of a medium blue hexagon is a medium orange triangle,a medium orange triangle is left of a medium blue hexagon,left of a medium blue hexagon is a medium orange triangle,0.9882404804229736,1,1,1
3489,the medium black triangle is positioned below a big black triangle,a medium black triangle is above a small black triangle,a medium black triangle is below a small black triangle,0.9811407327651978,3,0,1
6561,a medium yellow circle is right of a medium pink diamond,a medium pink diamond is left of a medium yellow circle,a medium pink diamond is left of a big yellow circle,0.9872167706489563,6,0,0
4377,above a medium orange square is a big yellow diamond,a medium yellow diamond is above a medium orange square,above a medium yellow square is a medium orange diamond,0.9853655099868774,3,0,1
62,a big orange square can be seen right of a small yellow square,a medium yellow square is left of a big orange square,a medium orange square is left of a small yellow square,0.9796012043952942,9,0,0
5094,the medium yellow triangle is positioned right of a medium pink triangle,a small pink triangle is left of a small yellow triangle,a small yellow triangle is right of a medium pink triangle,0.9662822484970093,20,0,0
4119,a small green diamond is right of a medium blue hexagon,a medium blue hexagon is left of a small green diamond,a big green hexagon is left of a medium blue diamond,0.9781810641288757,3,0,1
8360,left of a big pink circle is a small orange circle,a medium orange circle is left of a big pink circle,a big pink circle is left of a medium orange circle,0.9897072911262512,2,0,1
2610,the medium pink diamond is positioned below a medium blue octagon,a medium blue octagon is above a small pink diamond,a medium blue diamond is above a medium pink octagon,0.9812517762184143,6,0,0
5847,above a small blue triangle is a small purple octagon,a medium purple octagon is above a small blue triangle,below a medium purple triangle is a big blue octagon,0.9751545190811157,3,0,1
1693,right of a medium purple triangle is a medium blue diamond,a small purple triangle is left of a small blue diamond,a medium purple triangle is left of a small blue diamond,0.9874320030212402,61,0,0
1068,the small black hexagon is positioned below a medium yellow square,a medium yellow square is above a small black hexagon,a medium black square is above a big yellow hexagon,0.9821402430534363,5,0,1
6921,a big yellow circle can be seen above a medium blue triangle,a big yellow circle is above a small blue triangle,a big blue circle is above a small yellow triangle,0.9952993988990784,5,0,1
8758,a big blue octagon can be seen above a medium purple diamond,a medium blue octagon is above a small purple diamond,a medium blue diamond is above a medium purple octagon,0.9818611145019531,19,0,0
1862,a medium red octagon can be seen above a small black hexagon,a big red octagon is above a small black hexagon,a small red octagon is above a big green hexagon,0.9633828401565552,9,0,0
7464,a small orange diamond is below a big pink diamond,a medium pink diamond is above a small orange diamond,a small orange diamond is above a big pink diamond,0.9604306221008301,5,0,1
3289,a big orange circle is right of a small pink diamond,a small pink diamond is left of a big orange circle,left of a small orange circle is a small pink diamond,0.9753392934799194,2,0,1
695,a small yellow circle is below a small orange diamond,a medium orange diamond is above a medium yellow circle,a medium orange diamond is above a small yellow circle,0.989675760269165,27,0,0
8049,a big black triangle is above a medium pink diamond,a medium black triangle is above a small pink diamond,a small pink triangle is above a medium black diamond,0.9904661774635315,3,0,1
9820,right of a big pink square is a big pink circle,a medium pink square is left of a medium pink circle,a medium pink square is right of a medium pink circle,0.969379186630249,58,0,0
4366,the big purple octagon is positioned below a big blue triangle,a small blue triangle is above a medium purple octagon,above a small blue triangle is a small purple octagon,0.9781669974327087,27,0,0
7940,a big pink hexagon can be seen right of a big black hexagon,a medium black hexagon is left of a medium pink hexagon,above a medium pink hexagon is a small black hexagon,0.9274277687072754,99,0,0
6216,left of a small blue hexagon is a small yellow diamond,a small yellow diamond is left of a small blue hexagon,left of a small blue hexagon is a small yellow diamond,0.9811668395996094,1,1,1
6486,a big red octagon can be seen below a small yellow circle,a small yellow circle is above a big red octagon,a big yellow octagon is below a small red circle,0.9838153123855591,10,0,0
3876,a medium green hexagon is above a medium pink circle,a medium green hexagon is above a medium pink circle,a medium green hexagon is above a medium pink circle,1.0000001192092896,1,1,1
5731,the small red hexagon is positioned left of a medium green octagon,a small red hexagon is left of a big green octagon,a small red hexagon is left of a small green octagon,0.9911320805549622,6,0,0
6370,left of a big black octagon is a big pink octagon,a medium pink octagon is left of a medium black octagon,a medium black octagon is left of a small pink octagon,0.98211669921875,12,0,0
4430,the big purple circle is positioned left of a big red triangle,a medium purple circle is left of a small red triangle,a medium purple circle is below a small red triangle,0.952458381652832,25,0,0
3291,the small blue square is positioned right of a small yellow hexagon,a medium yellow hexagon is left of a medium blue square,right of a medium blue square is a medium yellow hexagon,0.9604955315589905,66,0,0
2801,the small yellow circle is positioned right of a medium blue square,the medium blue square is positioned left of a medium yellow circle,the medium blue square is positioned right of a small yellow circle,0.9802907109260559,3,0,1
2433,a medium green square can be seen below a small green triangle,a small green triangle is above a medium green square,a small green triangle is below a medium green square,0.9869120121002197,6,0,0
6035,left of a small green triangle is a small pink diamond,a small pink diamond is left of a small green triangle,left of a small green triangle is a small pink diamond,0.987324595451355,1,1,1
7333,the small yellow square is positioned right of a medium purple diamond,a medium purple diamond is left of a small yellow square,a big purple diamond is left of a medium yellow square,0.9816461205482483,14,0,0
8093,below a medium purple triangle is a big green hexagon,a small purple triangle is above a big green hexagon,above a small purple triangle is a small green hexagon,0.9780296683311462,6,0,0
4958,above a big pink diamond is a small blue square,a small blue square is above a medium pink diamond,a small blue square is above a medium pink diamond,1.0000001192092896,7,0,0
6538,a small yellow hexagon can be seen right of a medium blue hexagon,a big blue hexagon is left of a small yellow hexagon,left of a big blue hexagon is a small yellow hexagon,0.9844523668289185,7,0,0
4590,right of a big black triangle is a small purple octagon,a medium black triangle is left of a small purple octagon,a small black octagon is left of a medium purple triangle,0.992203950881958,14,0,0
9418,the medium purple octagon is positioned right of a small yellow circle,a small yellow circle is left of a medium purple octagon,a small purple octagon is left of a medium yellow circle,0.9946495294570923,15,0,0
1553,a medium yellow triangle can be seen right of a big orange diamond,a medium orange diamond is left of a small yellow triangle,a medium yellow triangle is left of a small orange diamond,0.9903805255889893,33,0,0
5780,right of a small orange triangle is a small black diamond,a small orange triangle is left of a small black diamond,left of a big black diamond is a small orange triangle,0.9761741161346436,2,0,1
8274,a big blue hexagon can be seen left of a medium purple hexagon,a big blue hexagon can be seen right of a small purple hexagon,a big blue hexagon can be seen left of a medium purple hexagon,0.9750542640686035,1,1,1
8572,the big green circle is positioned below a small purple diamond,a small purple diamond is above a big green circle,a big green circle is above a small purple diamond,0.9828340411186218,7,0,0
2463,the medium blue triangle is positioned left of a medium orange hexagon,a small blue triangle is left of a small orange hexagon,a small orange hexagon is left of a small yellow triangle,0.9542583227157593,18,0,0
9898,the small purple circle is positioned below a big blue hexagon,a medium blue hexagon is above a small purple circle,a medium purple hexagon is above a small blue circle,0.9959555864334106,25,0,0
6773,a medium green octagon can be seen right of a medium purple diamond,a medium purple diamond is left of a medium green octagon,a medium green octagon is right of a medium purple diamond,0.9795300960540771,6,0,0
6166,the big blue circle is positioned left of a big green octagon,a medium blue circle is left of a medium green octagon,a small blue circle is left of a medium green octagon,0.9762194752693176,62,0,0
8715,below a medium yellow circle is a small pink diamond,a big yellow circle is above a small pink diamond,a big pink diamond is below a small yellow circle,0.9777289628982544,11,0,0
6471,left of a big yellow octagon is a big purple diamond,a medium purple diamond is left of a medium yellow octagon,left of a small purple diamond is a medium yellow octagon,0.9787992835044861,12,0,0
7294,a big purple hexagon is right of a small red square,a small red square is left of a medium purple hexagon,a small purple hexagon is left of a big red square,0.9810872077941895,8,0,0
6552,the medium blue triangle is positioned below a medium blue diamond,a medium blue diamond is above a medium blue triangle,above a medium blue triangle is a medium black diamond,0.958109974861145,2,0,1
2527,a medium blue square is right of a big black hexagon,a medium black hexagon is left of a medium blue square,a medium blue hexagon is right of a small black square,0.9651753902435303,4,0,1
630,a small yellow square can be seen right of a big black square,the big black square is positioned left of a small yellow square,the big black square is positioned below a small yellow square,0.938330352306366,10,0,0
1053,a medium black circle can be seen right of a medium black triangle,a small black triangle is left of a medium black circle,a medium black triangle is left of a big black circle,0.9625303745269775,8,0,0
2198,right of a big orange square is a medium pink triangle,the big orange square is positioned left of a small pink triangle,the big orange square is positioned right of a medium pink triangle,0.9836409091949463,9,0,0
4127,a big purple square can be seen above a medium red square,a medium purple square is above a medium red square,below a small purple square is a medium red square,0.963358998298645,5,0,1
135,the small blue octagon is positioned left of a small red circle,a medium blue octagon is left of a medium red circle,left of a medium blue octagon is a small red circle,0.9755088686943054,58,0,0
127,the small orange diamond is positioned below a big purple square,a big purple square is above a small orange diamond,a big purple diamond is below a medium orange square,0.9729527235031128,9,0,0
9227,a big blue triangle is right of a big green triangle,a medium green triangle is left of a medium blue triangle,a medium green triangle is right of a medium blue triangle,0.9710521101951599,30,0,0
1731,a big blue octagon can be seen above a small red triangle,a big blue octagon is above a small red triangle,a big blue octagon is above a medium red triangle,0.9818580746650696,6,0,0
2540,a medium blue octagon can be seen below a small orange triangle,a small orange triangle is above a medium blue octagon,a medium orange octagon is below a small blue triangle,0.9813480377197266,8,0,0
169,left of a small purple square is a medium orange circle,a big orange circle is left of a small purple square,a small purple square is left of a big orange circle,0.9874150156974792,7,0,0
1737,the small blue square is positioned below a big red hexagon,a big red hexagon is above a small blue square,a small red hexagon is above a small blue square,0.9868353009223938,3,0,1
1834,a big pink square can be seen below a small green square,a small green square is above a medium pink square,a medium pink square is left of a small green square,0.9361014366149902,4,0,1
5596,a medium pink square can be seen above a big red triangle,a small pink square is above a small red triangle,above a medium pink triangle is a small red square,0.9659425616264343,16,0,0
3655,above a medium red hexagon is a big yellow hexagon,a medium yellow hexagon is above a small red hexagon,below a medium yellow hexagon is a big red hexagon,0.9653338193893433,3,0,1
3314,a medium black square can be seen right of a medium pink circle,a medium pink circle is left of a medium black square,left of a big pink square is a medium black circle,0.9656511545181274,6,0,0
7156,left of a medium pink hexagon is a big purple triangle,a medium purple triangle is left of a small pink hexagon,a small purple hexagon is left of a medium pink triangle,0.9939393997192383,4,0,1
9250,the big purple octagon is positioned below a small purple diamond,a small purple diamond is above a big purple octagon,a big purple diamond is above a small purple octagon,0.9975905418395996,5,0,1
7675,a small orange square can be seen below a medium green hexagon,a medium green hexagon is above a small orange square,a small orange square is above a medium green hexagon,0.9854723215103149,12,0,0
2196,a big yellow square is below a big orange circle,a big orange circle is above a medium yellow square,above a big orange square is a medium yellow circle,0.9760363698005676,7,0,0
3865,a medium blue diamond can be seen above a big green triangle,a medium blue diamond is above a medium green triangle,above a small green triangle is a medium blue diamond,0.9685344696044922,10,0,0
1749,the small red diamond is positioned left of a medium green diamond,a small red diamond is left of a medium green diamond,a medium red diamond is left of a small green diamond,0.9960190057754517,3,0,1
4426,right of a big black diamond is a medium yellow circle,the big black diamond is positioned left of a medium yellow circle,the big black diamond is positioned left of a medium yellow circle,0.9999999403953552,9,0,0
2944,a medium purple triangle is left of a small purple octagon,a medium purple triangle is left of a small purple octagon,a medium purple triangle is left of a small purple octagon,1.0000001192092896,1,1,1
6624,a big black octagon can be seen left of a big orange hexagon,a big black octagon is left of a medium orange hexagon,left of a big orange octagon is a big black hexagon,0.9713445901870728,7,0,0
6305,right of a medium orange diamond is a small black circle,a medium orange diamond is left of a small black circle,a medium orange diamond is left of a small black circle,1.0,2,0,1
1732,right of a small red circle is a big orange octagon,a medium red circle is left of a medium orange octagon,left of a medium orange octagon is a big red circle,0.9746423959732056,62,0,0
4906,the big green square is positioned below a medium blue diamond,a medium blue diamond is above a medium green square,a big blue diamond is below a medium green square,0.9644501805305481,30,0,0
2393,a small pink hexagon can be seen right of a big black octagon,a big black octagon is right of a small pink hexagon,a big black hexagon is right of a small pink octagon,0.9961478114128113,4,0,1
9881,a big blue triangle can be seen below a big red hexagon,a medium red hexagon is above a small blue triangle,a medium blue hexagon is below a small red triangle,0.9846842885017395,89,0,0
4578,the small blue octagon is positioned below a big orange circle,a big orange circle is above a small blue octagon,above a big blue octagon is a big orange circle,0.9668207168579102,7,0,0
7700,a big purple square can be seen above a medium pink diamond,a medium purple square is above a small pink diamond,a big purple square is above a medium pink diamond,0.9856104850769043,9,0,0
4112,a big green octagon can be seen left of a medium red square,a medium green octagon is left of a medium red square,a medium red square is left of a small green octagon,0.9770230054855347,8,0,0
6604,below a small blue square is a big yellow circle,a small blue square is above a big yellow circle,a small blue circle is above a small yellow square,0.9780659079551697,2,0,1
2522,the medium blue diamond is positioned above a small blue octagon,a medium blue diamond is above a medium blue octagon,above a small blue octagon is a medium blue diamond,0.9770959615707397,12,0,0
1925,a medium blue circle can be seen above a small orange octagon,the big blue circle is above a small orange octagon,above a big blue octagon is a big orange circle,0.9707447290420532,11,0,0
1165,a small black triangle can be seen left of a medium red square,a small black triangle is left of a medium red square,left of a big red triangle is a medium black square,0.9573102593421936,2,0,1
5707,right of a big yellow circle is a big pink hexagon,a medium yellow circle is left of a medium pink hexagon,left of a big yellow hexagon is a medium pink circle,0.9681785106658936,102,0,0
3042,left of a small red hexagon is a big black circle,a big black circle is left of a small red hexagon,left of a small red hexagon is a big black circle,0.9819639921188354,1,1,1
2882,a medium green diamond can be seen below a small blue square,a medium blue square is above a medium green diamond,a small green square is above a medium blue diamond,0.9662950038909912,10,0,0
8968,the small green triangle is positioned left of a small green octagon,a small green triangle is left of a small green octagon,left of a small green triangle is a big green octagon,0.9761976599693298,2,0,1
9139,a medium red hexagon can be seen above a small green octagon,a medium red hexagon is above a small green octagon,a small red octagon is above a big green hexagon,0.9648641347885132,2,0,1
9121,a small black circle can be seen above a big pink triangle,a medium black circle is above a small pink triangle,above a medium pink triangle is a small black circle,0.9783252477645874,11,0,0
3037,a small blue octagon is right of a small pink circle,a small pink circle is left of a small blue octagon,a big blue circle is left of a small pink octagon,0.9827863574028015,2,0,1
3121,a small black square can be seen above a medium purple octagon,a small black square is above a medium purple octagon,a big purple square is above a medium black octagon,0.9819521307945251,4,0,1
880,a medium purple octagon is below a small green diamond,a small green diamond is above a medium purple octagon,a small purple diamond is below a medium green octagon,0.9890486001968384,2,0,1
2240,a big red diamond is left of a small orange square,a big red diamond is left of a small orange square,a big red diamond is left of a small orange square,1.0,1,1,1
3691,a big blue circle can be seen below a medium red hexagon,a red hexagon is above a blue circle,below a medium blue hexagon is a big red circle,0.9218477606773376,2,0,1
6951,a medium red diamond is below a medium black octagon,a medium black octagon is above a small red diamond,a medium black octagon is above a medium red diamond,0.9863098859786987,4,0,1
4733,a big orange circle can be seen right of a small purple octagon,a small purple octagon is left of a big orange circle,a small purple octagon is right of a small orange circle,0.9784719944000244,13,0,0
6318,a big orange diamond is right of a big green octagon,a big green octagon is left of a medium orange diamond,left of a medium orange diamond is a big green octagon,0.9840530157089233,12,0,0
7579,right of a small purple circle is a big blue circle,a medium purple circle is left of a big blue circle,a medium blue circle can be seen left of a big purple circle,0.951867938041687,8,0,0
2903,a big yellow circle is left of a big red hexagon,a medium yellow circle is left of a medium red hexagon,a big yellow circle is left of a medium red hexagon,0.9700117707252502,18,0,0
5865,below a big blue circle is a small black square,a big blue circle is above a small black square,a big black square is below a small blue circle,0.9736686944961548,2,0,1
4845,above a medium yellow diamond is a small purple triangle,a small purple triangle is above a medium yellow diamond,above a medium yellow triangle is a small purple diamond,0.9821964502334595,2,0,1
6244,a small orange square is below a medium red triangle,a medium red triangle is above a small orange square,a small orange triangle is below a medium red square,0.9804108738899231,2,0,1
5287,above a medium blue diamond is a medium orange square,a medium orange square is above a medium blue diamond,above a medium blue diamond is a medium orange square,0.9796327352523804,1,1,1
1725,a big green octagon is below a small purple circle,a medium purple circle is above a medium green octagon,a medium purple circle can be seen below a medium green octagon,0.9653496742248535,10,0,0
7374,right of a medium blue triangle is a medium yellow hexagon,a medium blue triangle is left of a medium yellow hexagon,a medium blue hexagon is left of a medium yellow triangle,0.996133029460907,2,0,1
1825,a big purple triangle can be seen below a medium blue triangle,a small blue triangle is above a medium purple triangle,above a small purple triangle is a medium blue triangle,0.9832919239997864,7,0,0
5953,a medium green octagon is left of a small red circle,a medium green octagon is left of a small red circle,a medium green octagon is left of a small red circle,1.0,1,1,1
8236,a small red square is above a medium yellow octagon,a small red square is above a medium yellow octagon,a small red square is above a medium yellow octagon,1.0000001192092896,1,1,1
4957,a big purple triangle is left of a big black hexagon,a small purple triangle is left of a small black hexagon,left of a small black triangle is a small purple hexagon,0.9884393215179443,3,0,1
2785,a medium orange diamond is above a medium pink triangle,a medium orange diamond is above a medium pink triangle,a medium orange diamond is above a medium pink triangle,0.9999999403953552,1,1,1
7023,above a small orange triangle is a big purple hexagon,a big purple hexagon is above a small orange triangle,above a small orange triangle is a big purple hexagon,0.980833888053894,1,1,1
4745,the small black octagon is positioned left of a big orange circle,a small black octagon is left of a big orange circle,a medium orange circle is left of a big black octagon,0.9757246971130371,2,0,1
9644,the big black triangle is positioned left of a medium red octagon,a big black triangle is left of a medium red octagon,a big red octagon is right of a medium black triangle,0.9734813570976257,2,0,1
5513,a medium green hexagon is right of a big red diamond,a medium red diamond is left of a medium green hexagon,left of a medium red diamond is a big green hexagon,0.9729520082473755,10,0,0
1958,a big purple diamond can be seen below a medium purple triangle,a small purple triangle is above a big purple diamond,a medium purple triangle is above a big purple diamond,0.9747957587242126,17,0,0
2298,a medium pink circle can be seen left of a medium orange circle,a medium pink circle is left of a medium orange circle,a medium pink circle can be seen left of a medium orange circle,0.9605000615119934,1,1,1
6438,a small orange octagon can be seen right of a medium orange hexagon,a big orange hexagon is left of a small orange octagon,a big orange octagon is left of a medium orange hexagon,0.9820568561553955,29,0,0
8119,the medium purple diamond is positioned below a small black square,a medium black square is above a medium purple diamond,above a small purple diamond is a medium black square,0.9714968800544739,11,0,0
6827,a medium yellow diamond can be seen left of a medium green triangle,a medium yellow diamond is left of a medium green triangle,a medium green triangle is right of a medium yellow diamond,0.974278450012207,2,0,1
7822,right of a medium red triangle is a big purple diamond,a small red triangle is left of a medium purple diamond,left of a small red triangle is a small purple diamond,0.9767706394195557,27,0,0
5203,a medium orange octagon can be seen below a big blue hexagon,a medium blue hexagon is above a medium orange octagon,a medium blue octagon is above a small orange hexagon,0.982475757598877,14,0,0
1773,above a medium black hexagon is a small black triangle,a small black triangle is above a medium black hexagon,above a medium black hexagon is a small black triangle,0.9845581650733948,1,1,1
718,a small blue octagon can be seen left of a medium blue triangle,the small blue octagon is left of a small blue triangle,left of a medium blue octagon is a small blue triangle,0.9643440842628479,3,0,1
1794,a small black diamond is below a small red circle,a medium red circle is above a small black diamond,a medium black circle is below a small red diamond,0.979788064956665,4,0,1
2789,a small purple square can be seen right of a small orange circle,a medium orange circle is left of a medium purple square,left of a medium orange square is a medium purple circle,0.9822472929954529,40,0,0
6586,left of a small pink circle is a small red octagon,a medium red octagon is left of a medium pink circle,left of a medium pink circle is a medium red octagon,0.9862121939659119,12,0,0
1027,the medium black square is positioned below a small yellow circle,a medium yellow circle is above a medium black square,above a medium yellow circle is a small black square,0.9708566069602966,5,0,1
3211,a big yellow diamond is right of a big green octagon,the medium green octagon is positioned left of a medium yellow diamond,the medium green diamond is positioned right of a medium yellow octagon,0.9877809882164001,62,0,0
8231,a medium black hexagon is below a medium blue diamond,a medium blue diamond is above a medium black hexagon,a medium blue diamond is above a small black hexagon,0.9852690696716309,2,0,1
4720,right of a small black circle is a medium blue hexagon,a medium black circle is left of a medium blue hexagon,a medium blue hexagon is right of a medium black circle,0.9649770259857178,5,0,1
8557,a big pink diamond can be seen below a medium orange octagon,a medium orange octagon is above a medium pink diamond,below a small orange octagon is a medium pink diamond,0.9717273116111755,28,0,0
5491,a big green triangle is below a medium green hexagon,a medium green hexagon is above a medium green triangle,a big green triangle is below a medium green hexagon,0.9510690569877625,1,1,1
2706,a big green triangle is left of a medium black circle,a green triangle is left of a black circle,a big green triangle is left of a medium black circle,0.9447166323661804,1,1,1
4983,a big orange hexagon is above a big red circle,a medium orange hexagon is above a medium red circle,a medium red hexagon is above a medium orange circle,0.9973250031471252,39,0,0
200,the big yellow square is positioned below a small red octagon,a medium red octagon is above a medium yellow square,a medium red octagon is below a medium yellow square,0.9928023219108582,81,0,0
6310,the big green square is positioned right of a big purple circle,a medium purple circle is left of a medium green square,a big purple square is left of a medium green circle,0.9670161008834839,93,0,0
1382,the medium orange square is positioned above a big green diamond,a medium orange square is above a medium green diamond,a medium green diamond is above a small orange square,0.9756815433502197,14,0,0
1123,a medium red hexagon is below a medium orange hexagon,a medium orange hexagon is above a medium red hexagon,a medium red hexagon is below a medium orange hexagon,0.9873246550559998,1,1,1
1753,a big yellow square is below a medium yellow diamond,a small yellow diamond is above a medium yellow square,a big yellow square is below a medium yellow diamond,0.968773603439331,1,1,1
4188,a small pink triangle is below a big green triangle,a big green triangle is above a small pink triangle,a small pink triangle is below a big green triangle,0.972135066986084,1,1,1
5049,left of a small yellow hexagon is a medium yellow octagon,a big yellow octagon is left of a small yellow hexagon,a small yellow hexagon is left of a small yellow octagon,0.9822784066200256,6,0,0
2656,a medium yellow hexagon can be seen above a medium black diamond,a medium yellow hexagon is above a medium black diamond,above a medium black diamond is a medium yellow hexagon,0.9836654663085938,4,0,1
5207,the medium red square is positioned left of a big red triangle,a medium red square is left of a medium red triangle,left of a medium red triangle is a small red square,0.9642858505249023,8,0,0
3514,a big green octagon can be seen right of a small pink square,a small pink square is left of a big green octagon,a big pink square is left of a medium green octagon,0.9873360395431519,14,0,0
5973,a medium blue circle can be seen above a medium purple circle,a medium blue circle is above a medium purple circle,a medium blue circle can be seen above a medium purple circle,0.9551595449447632,1,1,1
4913,a medium purple diamond can be seen above a big red diamond,a medium purple diamond is above a medium red diamond,a medium red diamond is above a small purple diamond,0.972724437713623,13,0,0
2257,a medium black triangle is right of a medium blue diamond,a medium blue diamond is left of a small black triangle,a medium black triangle is right of a medium blue diamond,0.9635511636734009,1,1,1
8389,a medium pink circle is left of a small black octagon,a medium pink circle is left of a small black octagon,a medium pink circle is left of a small black octagon,1.0000001192092896,1,1,1
2937,left of a medium purple square is a medium blue circle,a medium blue circle is left of a medium purple square,left of a medium purple square is a medium blue circle,0.983859121799469,1,1,1
9728,a big black circle is left of a medium green hexagon,a big black circle is left of a medium green hexagon,a big black circle is left of a medium green hexagon,1.0000001192092896,1,1,1
26,the small orange hexagon is positioned above a medium black octagon,a small orange hexagon is above a medium black octagon,the small orange hexagon is positioned above a medium black octagon,0.9755967855453491,1,1,1
4216,left of a small green triangle is a big red triangle,a big red triangle is left of a small green triangle,left of a small green triangle is a big red triangle,0.9849827289581299,1,1,1
9353,a big black square is right of a small green diamond,a small green diamond is left of a big black square,a big black square is right of a small green diamond,0.9652956128120422,1,1,1
8626,the small blue diamond is positioned right of a small blue triangle,a small blue triangle is left of a small blue diamond,a small blue triangle is left of a big blue diamond,0.9905891418457031,8,0,0
6246,the small yellow octagon is positioned right of a big yellow triangle,a big yellow triangle is left of a small yellow octagon,a big yellow triangle is left of a big yellow octagon,0.9876691699028015,7,0,0
8809,a big black circle is above a small black triangle,a big black circle is above a small black triangle,a big black circle is above a small black triangle,1.0000001192092896,1,1,1
9282,the medium purple hexagon is positioned right of a small blue hexagon,a small blue hexagon is left of a medium purple hexagon,a big purple hexagon is left of a small purple hexagon,0.945250391960144,6,0,0
2959,the small pink square is positioned right of a small red diamond,a small red diamond is left of a small pink square,left of a small red square is a medium pink diamond,0.9709464311599731,14,0,0
2739,the medium yellow hexagon is positioned left of a big blue diamond,a medium yellow hexagon is left of a medium blue diamond,a medium yellow diamond is left of a medium blue hexagon,0.9942410588264465,10,0,0
6006,above a small black triangle is a small red circle,a big red circle is above a small black triangle,a small black circle is below a big red triangle,0.9704238772392273,2,0,1
380,a small pink square is below a medium pink octagon,a medium pink octagon is above a small pink square,below a small pink octagon is a medium pink square,0.9833558797836304,2,0,1
5692,right of a medium black diamond is a small blue octagon,a medium black diamond is left of a small blue octagon,left of a medium blue octagon is a medium black diamond,0.9701551198959351,3,0,1
8508,a medium black triangle is right of a big green triangle,a medium green triangle is left of a small black triangle,left of a medium green triangle is a big black triangle,0.9562745094299316,4,0,1
7686,a medium pink octagon can be seen below a big black circle,a big black circle is above a small pink octagon,above a small pink octagon is a big black circle,0.9813053011894226,14,0,0
2753,the big yellow diamond is positioned left of a small green octagon,a big yellow diamond is left of a small green octagon,a big yellow octagon is left of a medium green diamond,0.9854804277420044,5,0,1
3806,the big blue triangle is positioned right of a small red circle,a medium red circle is left of a medium blue triangle,a medium blue triangle is right of a medium red circle,0.9677439332008362,122,0,0
7395,the small orange triangle is positioned above a small pink diamond,a medium orange triangle is above a medium pink diamond,a medium orange diamond is above a medium pink triangle,0.9913088083267212,60,0,0
5145,above a big pink triangle is a medium blue diamond,a medium blue diamond is above a medium pink triangle,a medium blue diamond can be seen above a medium pink triangle,0.9624584317207336,3,0,1
5604,a medium green circle can be seen right of a big blue hexagon,a big blue hexagon is left of a medium green circle,left of a big green circle is a small blue hexagon,0.968650221824646,7,0,0
6087,a big yellow circle can be seen above a big green circle,a medium yellow circle is above a medium green circle,below a medium yellow circle is a medium green circle,0.9688282012939453,30,0,0
