image_id,path,gold_label,llm_output
8093,src/data/images/type-a/png/8093.png,below a medium purple triangle is a big green hexagon,a small purple triangle is above a big green hexagon
4958,src/data/images/type-a/png/4958.png,above a big pink diamond is a small blue square,a small blue square is above a medium pink diamond
6538,src/data/images/type-a/png/6538.png,a small yellow hexagon can be seen right of a medium blue hexagon,a big blue hexagon is left of a small yellow hexagon
4590,src/data/images/type-a/png/4590.png,right of a big black triangle is a small purple octagon,a medium black triangle is left of a small purple octagon
9418,src/data/images/type-a/png/9418.png,the medium purple octagon is positioned right of a small yellow circle,a small yellow circle is left of a medium purple octagon
1553,src/data/images/type-a/png/1553.png,a medium yellow triangle can be seen right of a big orange diamond,a medium orange diamond is left of a small yellow triangle
5780,src/data/images/type-a/png/5780.png,right of a small orange triangle is a small black diamond,a small orange triangle is left of a small black diamond
8274,src/data/images/type-a/png/8274.png,a big blue hexagon can be seen left of a medium purple hexagon,a big blue hexagon can be seen right of a small purple hexagon
8572,src/data/images/type-a/png/8572.png,the big green circle is positioned below a small purple diamond,a small purple diamond is above a big green circle
2463,src/data/images/type-a/png/2463.png,the medium blue triangle is positioned left of a medium orange hexagon,a small blue triangle is left of a small orange hexagon
9898,src/data/images/type-a/png/9898.png,the small purple circle is positioned below a big blue hexagon,a medium blue hexagon is above a small purple circle
6773,src/data/images/type-a/png/6773.png,a medium green octagon can be seen right of a medium purple diamond,a medium purple diamond is left of a medium green octagon
6166,src/data/images/type-a/png/6166.png,the big blue circle is positioned left of a big green octagon,a medium blue circle is left of a medium green octagon
8715,src/data/images/type-a/png/8715.png,below a medium yellow circle is a small pink diamond,a big yellow circle is above a small pink diamond
6471,src/data/images/type-a/png/6471.png,left of a big yellow octagon is a big purple diamond,a medium purple diamond is left of a medium yellow octagon
7294,src/data/images/type-a/png/7294.png,a big purple hexagon is right of a small red square,a small red square is left of a medium purple hexagon
6552,src/data/images/type-a/png/6552.png,the medium blue triangle is positioned below a medium blue diamond,a medium blue diamond is above a medium blue triangle
2527,src/data/images/type-a/png/2527.png,a medium blue square is right of a big black hexagon,a medium black hexagon is left of a medium blue square
630,src/data/images/type-a/png/630.png,a small yellow square can be seen right of a big black square,the big black square is positioned left of a small yellow square
1053,src/data/images/type-a/png/1053.png,a medium black circle can be seen right of a medium black triangle,a small black triangle is left of a medium black circle
2198,src/data/images/type-a/png/2198.png,right of a big orange square is a medium pink triangle,the big orange square is positioned left of a small pink triangle
4127,src/data/images/type-a/png/4127.png,a big purple square can be seen above a medium red square,a medium purple square is above a medium red square
135,src/data/images/type-a/png/135.png,the small blue octagon is positioned left of a small red circle,a medium blue octagon is left of a medium red circle
127,src/data/images/type-a/png/127.png,the small orange diamond is positioned below a big purple square,a big purple square is above a small orange diamond
9227,src/data/images/type-a/png/9227.png,a big blue triangle is right of a big green triangle,a medium green triangle is left of a medium blue triangle
1731,src/data/images/type-a/png/1731.png,a big blue octagon can be seen above a small red triangle,a big blue octagon is above a small red triangle
2540,src/data/images/type-a/png/2540.png,a medium blue octagon can be seen below a small orange triangle,a small orange triangle is above a medium blue octagon
169,src/data/images/type-a/png/169.png,left of a small purple square is a medium orange circle,a big orange circle is left of a small purple square
1737,src/data/images/type-a/png/1737.png,the small blue square is positioned below a big red hexagon,a big red hexagon is above a small blue square
1834,src/data/images/type-a/png/1834.png,a big pink square can be seen below a small green square,a small green square is above a medium pink square
5596,src/data/images/type-a/png/5596.png,a medium pink square can be seen above a big red triangle,a small pink square is above a small red triangle
3655,src/data/images/type-a/png/3655.png,above a medium red hexagon is a big yellow hexagon,a medium yellow hexagon is above a small red hexagon
3314,src/data/images/type-a/png/3314.png,a medium black square can be seen right of a medium pink circle,a medium pink circle is left of a medium black square
7156,src/data/images/type-a/png/7156.png,left of a medium pink hexagon is a big purple triangle,a medium purple triangle is left of a small pink hexagon
9250,src/data/images/type-a/png/9250.png,the big purple octagon is positioned below a small purple diamond,a small purple diamond is above a big purple octagon
7675,src/data/images/type-a/png/7675.png,a small orange square can be seen below a medium green hexagon,a medium green hexagon is above a small orange square
2196,src/data/images/type-a/png/2196.png,a big yellow square is below a big orange circle,a big orange circle is above a medium yellow square
3865,src/data/images/type-a/png/3865.png,a medium blue diamond can be seen above a big green triangle,a medium blue diamond is above a medium green triangle
1749,src/data/images/type-a/png/1749.png,the small red diamond is positioned left of a medium green diamond,a small red diamond is left of a medium green diamond
4426,src/data/images/type-a/png/4426.png,right of a big black diamond is a medium yellow circle,the big black diamond is positioned left of a medium yellow circle
2944,src/data/images/type-a/png/2944.png,a medium purple triangle is left of a small purple octagon,a medium purple triangle is left of a small purple octagon
6624,src/data/images/type-a/png/6624.png,a big black octagon can be seen left of a big orange hexagon,a big black octagon is left of a medium orange hexagon
6305,src/data/images/type-a/png/6305.png,right of a medium orange diamond is a small black circle,a medium orange diamond is left of a small black circle
1732,src/data/images/type-a/png/1732.png,right of a small red circle is a big orange octagon,a medium red circle is left of a medium orange octagon
4906,src/data/images/type-a/png/4906.png,the big green square is positioned below a medium blue diamond,a medium blue diamond is above a medium green square
2393,src/data/images/type-a/png/2393.png,a small pink hexagon can be seen right of a big black octagon,a big black octagon is right of a small pink hexagon
9881,src/data/images/type-a/png/9881.png,a big blue triangle can be seen below a big red hexagon,a medium red hexagon is above a small blue triangle
4578,src/data/images/type-a/png/4578.png,the small blue octagon is positioned below a big orange circle,a big orange circle is above a small blue octagon
7700,src/data/images/type-a/png/7700.png,a big purple square can be seen above a medium pink diamond,a medium purple square is above a small pink diamond
4112,src/data/images/type-a/png/4112.png,a big green octagon can be seen left of a medium red square,a medium green octagon is left of a medium red square
6604,src/data/images/type-a/png/6604.png,below a small blue square is a big yellow circle,a small blue square is above a big yellow circle
2522,src/data/images/type-a/png/2522.png,the medium blue diamond is positioned above a small blue octagon,a medium blue diamond is above a medium blue octagon
1925,src/data/images/type-a/png/1925.png,a medium blue circle can be seen above a small orange octagon,the big blue circle is above a small orange octagon
1165,src/data/images/type-a/png/1165.png,a small black triangle can be seen left of a medium red square,a small black triangle is left of a medium red square
5707,src/data/images/type-a/png/5707.png,right of a big yellow circle is a big pink hexagon,a medium yellow circle is left of a medium pink hexagon
3042,src/data/images/type-a/png/3042.png,left of a small red hexagon is a big black circle,a big black circle is left of a small red hexagon
2882,src/data/images/type-a/png/2882.png,a medium green diamond can be seen below a small blue square,a medium blue square is above a medium green diamond
8968,src/data/images/type-a/png/8968.png,the small green triangle is positioned left of a small green octagon,a small green triangle is left of a small green octagon
9139,src/data/images/type-a/png/9139.png,a medium red hexagon can be seen above a small green octagon,a medium red hexagon is above a small green octagon
9121,src/data/images/type-a/png/9121.png,a small black circle can be seen above a big pink triangle,a medium black circle is above a small pink triangle
3037,src/data/images/type-a/png/3037.png,a small blue octagon is right of a small pink circle,a small pink circle is left of a small blue octagon
3121,src/data/images/type-a/png/3121.png,a small black square can be seen above a medium purple octagon,a small black square is above a medium purple octagon
880,src/data/images/type-a/png/880.png,a medium purple octagon is below a small green diamond,a small green diamond is above a medium purple octagon
2240,src/data/images/type-a/png/2240.png,a big red diamond is left of a small orange square,a big red diamond is left of a small orange square
3691,src/data/images/type-a/png/3691.png,a big blue circle can be seen below a medium red hexagon,a red hexagon is above a blue circle
6951,src/data/images/type-a/png/6951.png,a medium red diamond is below a medium black octagon,a medium black octagon is above a small red diamond
4733,src/data/images/type-a/png/4733.png,a big orange circle can be seen right of a small purple octagon,a small purple octagon is left of a big orange circle
6318,src/data/images/type-a/png/6318.png,a big orange diamond is right of a big green octagon,a big green octagon is left of a medium orange diamond
7579,src/data/images/type-a/png/7579.png,right of a small purple circle is a big blue circle,a medium purple circle is left of a big blue circle
2903,src/data/images/type-a/png/2903.png,a big yellow circle is left of a big red hexagon,a medium yellow circle is left of a medium red hexagon
5865,src/data/images/type-a/png/5865.png,below a big blue circle is a small black square,a big blue circle is above a small black square
4845,src/data/images/type-a/png/4845.png,above a medium yellow diamond is a small purple triangle,a small purple triangle is above a medium yellow diamond
6244,src/data/images/type-a/png/6244.png,a small orange square is below a medium red triangle,a medium red triangle is above a small orange square
5287,src/data/images/type-a/png/5287.png,above a medium blue diamond is a medium orange square,a medium orange square is above a medium blue diamond
1725,src/data/images/type-a/png/1725.png,a big green octagon is below a small purple circle,a medium purple circle is above a medium green octagon
7374,src/data/images/type-a/png/7374.png,right of a medium blue triangle is a medium yellow hexagon,a medium blue triangle is left of a medium yellow hexagon
1825,src/data/images/type-a/png/1825.png,a big purple triangle can be seen below a medium blue triangle,a small blue triangle is above a medium purple triangle
5953,src/data/images/type-a/png/5953.png,a medium green octagon is left of a small red circle,a medium green octagon is left of a small red circle
8236,src/data/images/type-a/png/8236.png,a small red square is above a medium yellow octagon,a small red square is above a medium yellow octagon
4957,src/data/images/type-a/png/4957.png,a big purple triangle is left of a big black hexagon,a small purple triangle is left of a small black hexagon
2785,src/data/images/type-a/png/2785.png,a medium orange diamond is above a medium pink triangle,a medium orange diamond is above a medium pink triangle
7023,src/data/images/type-a/png/7023.png,above a small orange triangle is a big purple hexagon,a big purple hexagon is above a small orange triangle
4745,src/data/images/type-a/png/4745.png,the small black octagon is positioned left of a big orange circle,a small black octagon is left of a big orange circle
9644,src/data/images/type-a/png/9644.png,the big black triangle is positioned left of a medium red octagon,a big black triangle is left of a medium red octagon
5513,src/data/images/type-a/png/5513.png,a medium green hexagon is right of a big red diamond,a medium red diamond is left of a medium green hexagon
1958,src/data/images/type-a/png/1958.png,a big purple diamond can be seen below a medium purple triangle,a small purple triangle is above a big purple diamond
2298,src/data/images/type-a/png/2298.png,a medium pink circle can be seen left of a medium orange circle,a medium pink circle is left of a medium orange circle
6438,src/data/images/type-a/png/6438.png,a small orange octagon can be seen right of a medium orange hexagon,a big orange hexagon is left of a small orange octagon
8119,src/data/images/type-a/png/8119.png,the medium purple diamond is positioned below a small black square,a medium black square is above a medium purple diamond
6827,src/data/images/type-a/png/6827.png,a medium yellow diamond can be seen left of a medium green triangle,a medium yellow diamond is left of a medium green triangle
7822,src/data/images/type-a/png/7822.png,right of a medium red triangle is a big purple diamond,a small red triangle is left of a medium purple diamond
5203,src/data/images/type-a/png/5203.png,a medium orange octagon can be seen below a big blue hexagon,a medium blue hexagon is above a medium orange octagon
1773,src/data/images/type-a/png/1773.png,above a medium black hexagon is a small black triangle,a small black triangle is above a medium black hexagon
718,src/data/images/type-a/png/718.png,a small blue octagon can be seen left of a medium blue triangle,the small blue octagon is left of a small blue triangle
1794,src/data/images/type-a/png/1794.png,a small black diamond is below a small red circle,a medium red circle is above a small black diamond
2789,src/data/images/type-a/png/2789.png,a small purple square can be seen right of a small orange circle,a medium orange circle is left of a medium purple square
6586,src/data/images/type-a/png/6586.png,left of a small pink circle is a small red octagon,a medium red octagon is left of a medium pink circle
1027,src/data/images/type-a/png/1027.png,the medium black square is positioned below a small yellow circle,a medium yellow circle is above a medium black square
3211,src/data/images/type-a/png/3211.png,a big yellow diamond is right of a big green octagon,the medium green octagon is positioned left of a medium yellow diamond
8231,src/data/images/type-a/png/8231.png,a medium black hexagon is below a medium blue diamond,a medium blue diamond is above a medium black hexagon
4720,src/data/images/type-a/png/4720.png,right of a small black circle is a medium blue hexagon,a medium black circle is left of a medium blue hexagon
8557,src/data/images/type-a/png/8557.png,a big pink diamond can be seen below a medium orange octagon,a medium orange octagon is above a medium pink diamond
5491,src/data/images/type-a/png/5491.png,a big green triangle is below a medium green hexagon,a medium green hexagon is above a medium green triangle
2706,src/data/images/type-a/png/2706.png,a big green triangle is left of a medium black circle,a green triangle is left of a black circle
4983,src/data/images/type-a/png/4983.png,a big orange hexagon is above a big red circle,a medium orange hexagon is above a medium red circle
200,src/data/images/type-a/png/200.png,the big yellow square is positioned below a small red octagon,a medium red octagon is above a medium yellow square
6310,src/data/images/type-a/png/6310.png,the big green square is positioned right of a big purple circle,a medium purple circle is left of a medium green square
1382,src/data/images/type-a/png/1382.png,the medium orange square is positioned above a big green diamond,a medium orange square is above a medium green diamond
1123,src/data/images/type-a/png/1123.png,a medium red hexagon is below a medium orange hexagon,a medium orange hexagon is above a medium red hexagon
1753,src/data/images/type-a/png/1753.png,a big yellow square is below a medium yellow diamond,a small yellow diamond is above a medium yellow square
4188,src/data/images/type-a/png/4188.png,a small pink triangle is below a big green triangle,a big green triangle is above a small pink triangle
5049,src/data/images/type-a/png/5049.png,left of a small yellow hexagon is a medium yellow octagon,a big yellow octagon is left of a small yellow hexagon
2656,src/data/images/type-a/png/2656.png,a medium yellow hexagon can be seen above a medium black diamond,a medium yellow hexagon is above a medium black diamond
5207,src/data/images/type-a/png/5207.png,the medium red square is positioned left of a big red triangle,a medium red square is left of a medium red triangle
3514,src/data/images/type-a/png/3514.png,a big green octagon can be seen right of a small pink square,a small pink square is left of a big green octagon
5973,src/data/images/type-a/png/5973.png,a medium blue circle can be seen above a medium purple circle,a medium blue circle is above a medium purple circle
4913,src/data/images/type-a/png/4913.png,a medium purple diamond can be seen above a big red diamond,a medium purple diamond is above a medium red diamond
2257,src/data/images/type-a/png/2257.png,a medium black triangle is right of a medium blue diamond,a medium blue diamond is left of a small black triangle
8389,src/data/images/type-a/png/8389.png,a medium pink circle is left of a small black octagon,a medium pink circle is left of a small black octagon
2937,src/data/images/type-a/png/2937.png,left of a medium purple square is a medium blue circle,a medium blue circle is left of a medium purple square
9728,src/data/images/type-a/png/9728.png,a big black circle is left of a medium green hexagon,a big black circle is left of a medium green hexagon
26,src/data/images/type-a/png/26.png,the small orange hexagon is positioned above a medium black octagon,a small orange hexagon is above a medium black octagon
4216,src/data/images/type-a/png/4216.png,left of a small green triangle is a big red triangle,a big red triangle is left of a small green triangle
9353,src/data/images/type-a/png/9353.png,a big black square is right of a small green diamond,a small green diamond is left of a big black square
8626,src/data/images/type-a/png/8626.png,the small blue diamond is positioned right of a small blue triangle,a small blue triangle is left of a small blue diamond
6246,src/data/images/type-a/png/6246.png,the small yellow octagon is positioned right of a big yellow triangle,a big yellow triangle is left of a small yellow octagon
8809,src/data/images/type-a/png/8809.png,a big black circle is above a small black triangle,a big black circle is above a small black triangle
9282,src/data/images/type-a/png/9282.png,the medium purple hexagon is positioned right of a small blue hexagon,a small blue hexagon is left of a medium purple hexagon
2959,src/data/images/type-a/png/2959.png,the small pink square is positioned right of a small red diamond,a small red diamond is left of a small pink square
2739,src/data/images/type-a/png/2739.png,the medium yellow hexagon is positioned left of a big blue diamond,a medium yellow hexagon is left of a medium blue diamond
6006,src/data/images/type-a/png/6006.png,above a small black triangle is a small red circle,a big red circle is above a small black triangle
380,src/data/images/type-a/png/380.png,a small pink square is below a medium pink octagon,a medium pink octagon is above a small pink square
5692,src/data/images/type-a/png/5692.png,right of a medium black diamond is a small blue octagon,a medium black diamond is left of a small blue octagon
8508,src/data/images/type-a/png/8508.png,a medium black triangle is right of a big green triangle,a medium green triangle is left of a small black triangle
7686,src/data/images/type-a/png/7686.png,a medium pink octagon can be seen below a big black circle,a big black circle is above a small pink octagon
2753,src/data/images/type-a/png/2753.png,the big yellow diamond is positioned left of a small green octagon,a big yellow diamond is left of a small green octagon
3806,src/data/images/type-a/png/3806.png,the big blue triangle is positioned right of a small red circle,a medium red circle is left of a medium blue triangle
7395,src/data/images/type-a/png/7395.png,the small orange triangle is positioned above a small pink diamond,a medium orange triangle is above a medium pink diamond
5145,src/data/images/type-a/png/5145.png,above a big pink triangle is a medium blue diamond,a medium blue diamond is above a medium pink triangle
5604,src/data/images/type-a/png/5604.png,a medium green circle can be seen right of a big blue hexagon,a big blue hexagon is left of a medium green circle
6087,src/data/images/type-a/png/6087.png,a big yellow circle can be seen above a big green circle,a medium yellow circle is above a medium green circle
9003,src/data/images/type-a/png/9003.png,a small yellow square is right of a medium yellow octagon,a big yellow octagon is left of a small yellow square
5972,src/data/images/type-a/png/5972.png,a medium orange octagon is right of a big green square,the medium green square is positioned left of a medium orange octagon
7525,src/data/images/type-a/png/7525.png,a big red diamond is right of a big green circle,a big green circle is left of a medium red diamond
3795,src/data/images/type-a/png/3795.png,a medium blue diamond can be seen right of a small pink triangle,a small pink triangle is left of a medium blue diamond
8399,src/data/images/type-a/png/8399.png,the big green diamond is positioned right of a medium green square,the medium green square is positioned left of a medium green diamond
8649,src/data/images/type-a/png/8649.png,above a small pink hexagon is a small green square,a medium green square is above a small pink hexagon
4903,src/data/images/type-a/png/4903.png,a small purple circle is left of a big yellow circle,a small purple circle is left of a big yellow circle
5993,src/data/images/type-a/png/5993.png,the small pink square is positioned left of a big black hexagon,a small pink square is left of a big black hexagon
4203,src/data/images/type-a/png/4203.png,right of a medium yellow octagon is a small pink triangle,the medium pink triangle is right of a big yellow octagon
5130,src/data/images/type-a/png/5130.png,the big yellow square is positioned right of a small black octagon,the small black octagon is left of a medium yellow square
8832,src/data/images/type-a/png/8832.png,the small yellow circle is positioned above a big orange circle,a small yellow circle is above a big orange circle
3154,src/data/images/type-a/png/3154.png,a big black circle can be seen above a big orange diamond,a medium black circle is above a small orange diamond
4322,src/data/images/type-a/png/4322.png,a medium purple square can be seen left of a big purple hexagon,a medium purple square is left of a medium purple hexagon
102,src/data/images/type-a/png/102.png,right of a small red circle is a small orange square,a medium red circle is left of a medium orange square
3490,src/data/images/type-a/png/3490.png,a big green octagon can be seen left of a medium green triangle,a big green octagon is left of a small green triangle
2809,src/data/images/type-a/png/2809.png,the big yellow circle is positioned above a small orange triangle,a big yellow circle is above a small orange triangle
9290,src/data/images/type-a/png/9290.png,below a medium orange diamond is a small yellow octagon,a medium orange diamond is above a small yellow octagon
9224,src/data/images/type-a/png/9224.png,above a big red octagon is a small green hexagon,a small green hexagon is above a big red octagon
8663,src/data/images/type-a/png/8663.png,below a big pink hexagon is a small blue hexagon,a medium pink hexagon is above a small blue hexagon
557,src/data/images/type-a/png/557.png,the medium yellow diamond is positioned above a small purple diamond,a medium yellow diamond is above a medium purple diamond
8847,src/data/images/type-a/png/8847.png,a small green square can be seen below a big blue triangle,a medium blue triangle is above a medium green square
8591,src/data/images/type-a/png/8591.png,below a big black square is a medium green octagon,a big black square is above a medium green octagon
1817,src/data/images/type-a/png/1817.png,below a big yellow square is a medium purple triangle,the big yellow square is above a small purple triangle
854,src/data/images/type-a/png/854.png,the big blue diamond is positioned left of a big blue octagon,a medium blue diamond is left of a medium blue octagon
1453,src/data/images/type-a/png/1453.png,the medium yellow square is positioned right of a small purple circle,a medium purple circle is left of a medium yellow square
1055,src/data/images/type-a/png/1055.png,a medium blue diamond can be seen right of a medium black triangle,a small black triangle is left of a small blue diamond
9238,src/data/images/type-a/png/9238.png,the medium pink circle is positioned right of a big black diamond,a big black diamond is left of a medium pink circle
7551,src/data/images/type-a/png/7551.png,a medium yellow triangle can be seen above a big green triangle,a small yellow triangle is above a small green triangle
368,src/data/images/type-a/png/368.png,a medium purple triangle is left of a small yellow square,a medium purple triangle is left of a medium yellow square
7845,src/data/images/type-a/png/7845.png,right of a medium pink square is a small black octagon,the medium pink square is positioned left of a small black octagon
9160,src/data/images/type-a/png/9160.png,the big pink octagon is positioned left of a big orange octagon,a medium pink octagon is left of a medium orange octagon
7705,src/data/images/type-a/png/7705.png,a medium orange octagon can be seen above a big black triangle,a medium orange octagon is above a black triangle
2193,src/data/images/type-a/png/2193.png,below a big pink octagon is a big blue triangle,a medium pink octagon is above a medium blue triangle
491,src/data/images/type-a/png/491.png,the big red square is positioned above a medium black diamond,a big red square is above a small black diamond
1138,src/data/images/type-a/png/1138.png,the medium black hexagon is positioned above a medium black triangle,a medium black hexagon is above a small black triangle
3376,src/data/images/type-a/png/3376.png,above a big orange square is a big red circle,a big red circle is above a medium orange square
9843,src/data/images/type-a/png/9843.png,a medium blue hexagon can be seen right of a small black diamond,a small black diamond is left of a medium blue hexagon
2745,src/data/images/type-a/png/2745.png,a small green square can be seen right of a big purple circle,a big purple circle is left of a small green square
684,src/data/images/type-a/png/684.png,above a small black triangle is a medium black hexagon,a medium black hexagon is above a small black triangle
5324,src/data/images/type-a/png/5324.png,the big yellow circle is positioned left of a medium blue square,a big yellow circle is left of a medium blue square
2000,src/data/images/type-a/png/2000.png,left of a big purple square is a small orange hexagon,a medium orange hexagon is left of a big purple square
8244,src/data/images/type-a/png/8244.png,the medium pink circle is positioned above a big red triangle,a medium pink circle is above a small red triangle
7615,src/data/images/type-a/png/7615.png,the small red octagon is positioned above a small red square,a medium red octagon is above a medium red square
4550,src/data/images/type-a/png/4550.png,a medium black triangle is left of a medium purple diamond,a medium black triangle is left of a medium purple diamond
4663,src/data/images/type-a/png/4663.png,right of a medium pink octagon is a big blue octagon,a small pink octagon is left of a big blue octagon
676,src/data/images/type-a/png/676.png,a big blue diamond can be seen below a medium yellow diamond,a medium yellow diamond is above a medium blue diamond
3922,src/data/images/type-a/png/3922.png,the small yellow octagon is positioned left of a small yellow square,a small yellow octagon is left of a small yellow square
4842,src/data/images/type-a/png/4842.png,a medium black triangle can be seen above a small black hexagon,a medium black triangle is above a medium black hexagon
5493,src/data/images/type-a/png/5493.png,a small orange octagon can be seen left of a small green square,a medium orange octagon is left of a medium green square
3926,src/data/images/type-a/png/3926.png,a medium black diamond can be seen above a medium red circle,a small black diamond is above a medium red circle
1555,src/data/images/type-a/png/1555.png,a small pink square is below a big red circle,a big red circle is above a small pink square
4735,src/data/images/type-a/png/4735.png,the medium purple octagon is positioned below a medium red triangle,a small red triangle is above a medium purple octagon
5823,src/data/images/type-a/png/5823.png,a medium black triangle can be seen below a medium pink hexagon,a medium pink hexagon is above a small black triangle
8172,src/data/images/type-a/png/8172.png,a small pink octagon can be seen above a big red triangle,a small pink octagon is above a medium red triangle
1057,src/data/images/type-a/png/1057.png,a medium orange circle can be seen left of a small black circle,a medium orange circle is right of a small black circle
